playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player,season_age,start_league,league,probability,gp,ppg,gpg,apg,perc_team_a,perc_team_g,perc_team_tp,start_node,node,epoints,nhl_xvalue,xvalue,cond_probability
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,NHL,NHL,1.0,82.0,0.40513384342193604,0.1316684991121292,0.27346534430980685,0.05872868710106381,0.050799859453336295,0.05587624202503957,13,24,33.220975160598755,0.0,11.626344676954748,0.069994
512832,2001-06-24,"Moskva, RUS",Russia,185.0,87.0,L,Vancouver Canucks,False,2019,1,10,Vancouver Canucks,vasili-podkolzin,,,,,2019,2020-06-03,Vasili Podkolzin,23.0,NHL,NHL,1.0,82.0,0.44455552101135254,0.14448054432868956,0.300074976682663,0.06333319641096924,0.054564364489769285,0.06011634162812228,14,25,36.45355272293091,0.0,20.77852505207062,0.114
300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,22.0,AHL,AHL,0.5071982344879736,76.0,0.7559612989425659,0.18899032473564148,0.5669709742069244,0.10620250276413863,0.06354934105442778,0.08992723077874744,1,2,57.45305871963501,27.0,58.2574015417099,0.507
300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,22.0,AHL,NHL,0.49280176551202637,82.0,0.4642595946788788,0.1160648986697197,0.3481946960091591,0.07133957876992204,0.04575945412807968,0.06184535245765969,1,3,38.06928676366806,44.8,37.53631674897671,0.493
300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,23.0,AHL,NHL,0.5265901978638043,82.0,0.4100301265716553,0.10250753164291382,0.30752259492874146,0.06462192626150527,0.04223162487020927,0.056402874312379836,2,4,33.62247037887573,0.0,26.950662714184283,0.267189
300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,23.0,AHL,AHL,0.47340980213619566,76.0,0.545014500617981,0.13625362515449524,0.4087608754634857,0.07914617000175889,0.04850962651736274,0.06762861838744012,2,5,41.42110204696655,0.0,29.79970770895529,0.239811
300591,1999-10-20,"Oakville, ON, CAN",Canada,191.0,88.0,R,Edmonton Oilers,True,2018,1,10,Edmonton Oilers,evan-bouchard,,,,,2018,2020-06-03,Evan Bouchard,23.0,NHL,NHL,1.0,82.0,0.3692587614059448,0.0923146903514862,0.2769440710544586,0.05933064316937483,0.03923670862314948,0.052017605601677355,3,6,30.279218435287476,0.0,44.782964065790175,0.493
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,21.0,Czech,Czech,0.8441108562910875,52.0,0.7984904646873474,0.3992452323436736,0.3992452323436738,0.07648652680811993,0.12031892282485196,0.09211423303685759,1,2,41.521504163742065,39.9,70.0882990283966,0.844
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,21.0,Czech,AHL,0.15242494046758417,76.0,0.5622657537460327,0.2811328768730163,0.2811328768730164,0.055587867614356426,0.08923252972856938,0.06785920958134266,1,3,42.732197284698486,13.3,12.99058797454834,0.152
272376,2000-05-31,"Tabor, CZE",Czech Rep.,183.0,90.0,L,Edmonton Oilers,False,2019,4,100,Edmonton Oilers,matej-blumel,,,,,2018,2020-06-03,Matej Blümel,21.0,Czech,NHL,0.0034642032413282867,82.0,0.2633020579814911,0.13165102899074552,0.13165102899074557,0.03271559591632714,0.048948417202203776,0.03899624914596584,1,4,21.59076875448227,0.6,0.12954461252689362,0.003
