,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
215,267086,2000-03-31,"Halifax, NS, CAN",Canada,183.0,77.0,L,Vegas Golden Knights,False,2018,6,180,Vegas Golden Knights,peter-diliberatore,,,,,2018,2020-06-03,Peter Diliberatore,0.09,10,5.9
216,245255,1997-09-28,"Mississauga, ON, CAN",Canada,188.0,100.0,R,,,2016,6,180,San Jose Sharks,mark-shoemaker,,,,,2016,2020-06-03,Mark Shoemaker,0.07,5,0.8
217,364031,2000-10-13,"Danville, CA, USA",USA,185.0,87.0,R,Vancouver Canucks,False,2019,6,180,Vancouver Canucks,jack-malone,,,,,2019,2020-06-03,Jack Malone,0.07,11,5.3
218,201449,1999-04-06,"Los Angeles, CA, USA",USA,175.0,76.0,R,Tampa Bay Lightning,False,2017,6,180,Tampa Bay Lightning,cole-guttman,,,,,2017,2020-06-03,Cole Guttman,0.11,7,5.4
219,370364,2000-08-04,"Waterdown, ON, CAN",Canada,188.0,84.0,L,Boston Bruins,False,2018,6,181,Boston Bruins,dustyn-mcfaul,,,,,2018,2020-06-03,Dustyn McFaul,0.04,10,2.3
220,355153,2000-02-01,"Rochester, NY, USA",USA,183.0,85.0,R,Carolina Hurricanes,False,2019,6,181,Carolina Hurricanes,kevin-wall,,,,,2018,2020-06-03,Kevin Wall,0.09,10,7.7
221,352013,2001-07-27,"Wilcox, SK, CAN",Canada,188.0,90.0,L,Tampa Bay Lightning,False,2019,6,182,Tampa Bay Lightning,quinn-schmiemann,,,,,2019,2020-06-03,Quinn Schmiemann,0.18,21,10.2
222,380606,1998-11-25,"Elk River, MN, USA",USA,188.0,88.0,R,Washington Capitals,False,2017,6,182,Washington Capitals,benton-maass,,,,,2017,2020-06-03,Benton Maass,0.02,4,0.4
223,416872,2001-07-05,"Uxbridge, ON, CAN",Canada,188.0,85.0,L,Carolina Hurricanes,False,2019,6,183,Carolina Hurricanes,blake-murray,,,,,2019,2020-06-03,Blake Murray,0.31,20,24.8
224,201447,1999-06-09,"Huntington Beach, CA, USA",USA                                                                                             /  Ukraine,183.0,85.0,R,San Jose Sharks,True,2017,6,185,San Jose Sharks,sasha-chmelevski,,,,,2017,2020-06-03,Sasha Chmelevski,0.22,7,7.7
225,241374,2000-02-28,"Rouyn-Noranda, QC, CAN",Canada,191.0,91.0,R,,,2018,6,185,Vegas Golden Knights,xavier-bouchard,,,,,2018,2020-06-03,Xavier Bouchard,0.27,11,11.2
226,428827,2001-06-21,"Lappeenranta, FIN",Finland,181.0,73.0,L,Boston Bruins,False,2019,6,185,Boston Bruins,matias-mantykivi,,,,,2019,2020-06-03,Matias Mäntykivi,0.05,21,4.3
227,244216,1999-01-18,"Kouvola, FIN",Finland,186.0,78.0,L,Pittsburgh Penguins,False,2017,6,186,Pittsburgh Penguins,antti-palojarvi,,,,,2017,2020-06-03,Antti Palojärvi,0.01,9,0.3
228,312221,1998-06-09,"Omsk, RUS",Russia                                                                                             /  Armenia,170.0,63.0,R,Vancouver Canucks,False,2018,6,186,Vancouver Canucks,artyom-manukyan,,,,,2016,2020-06-03,Artyom Manukyan,0.06,8,4.2
229,387330,2001-05-01,"Mississauga, ON, CAN",Canada,191.0,92.0,L,Anaheim Ducks,False,2019,6,186,Anaheim Ducks,mathew-hill,,,,,2019,2020-06-03,Mathew Hill,0.23,24,11.4
230,410616,2001-04-28,"Sainte-Foy, QC, CAN",Canada,185.0,82.0,R,Ottawa Senators,False,2019,7,187,Ottawa Senators,maxence-guenette,,,,,2019,2020-06-03,Maxence Guénette,0.33,20,32.6
231,281973,2000-05-15,"Linköping, SWE",Sweden,197.0,84.0,L,Buffalo Sabres,False,2018,7,187,Buffalo Sabres,william-worge-kreu,,,,,2018,2020-06-03,William Worge Kreü,0.03,14,0.9
232,268659,1998-08-08,"Barrie, ON, CAN",Canada,188.0,89.0,R,,,2017,7,188,Vancouver Canucks,matt-brassard,,,,,2016,2020-06-03,Matt Brassard,0.1,5,3.0
233,269880,1998-10-22,"Riverside, ON, CAN",Canada,191.0,98.0,L,Ottawa Senators,False,2018,7,188,Ottawa Senators,jakov-novak,,,,,2017,2020-06-03,Jakov Novak,0.09,4,3.7
234,350001,2000-07-26,"Karlstad, SWE",Sweden                                                                                             /  USA,195.0,93.0,L,Los Angeles Kings,False,2019,7,188,Los Angeles Kings,andre-lee,,,,,2018,2020-06-03,Andre Lee,0.04,10,2.8
235,230605,2000-01-03,"Maltby, GBR",England,185.0,75.0,L,Arizona Coyotes,False,2018,7,189,Arizona Coyotes,liam-kirk,,,,,2018,2020-06-03,Liam Kirk,0.1,17,2.0
236,259121,2000-10-16,"Gislaved, SWE",Sweden,177.0,85.0,L,New Jersey Devils,False,2019,7,189,New Jersey Devils,nikola-pasic,,,,,2019,2020-06-03,Nikola Pasic,0.11,30,9.2
237,267695,1998-04-30,"East Aurora, NY, USA",USA,193.0,94.0,L,,,2016,7,189,Buffalo Sabres,austin-osmanski,,,,,2016,2020-06-03,Austin Osmanski,0.08,5,1.2
238,273677,1999-02-26,"Waterloo, ON, CAN",Canada,183.0,86.0,L,Vegas Golden Knights,True,2017,7,189,Vegas Golden Knights,ben-jones,,,,,2017,2020-06-03,Ben Jones,0.06,5,1.3
239,372919,2000-09-24,"Tampere, FIN",Finland,182.0,86.0,R,Ottawa Senators,True,2019,1,19,Ottawa Senators,lassi-thomson,,,,,2019,2020-06-03,Lassi Thomson,0.43,13,12.4
240,312015,1999-11-04,"Hingham, MA, USA",USA,180.0,84.0,R,Philadelphia Flyers,False,2018,1,19,Philadelphia Flyers,jay-o-brien,,,,,2018,2020-06-03,Jay O'Brien,0.35,8,18.1
241,273954,1999-05-05,"Oxford, MI, USA",USA                                                                                             /  Canada,188.0,87.0,L,Ottawa Senators,True,2017,1,19,San Jose Sharks,josh-norris,,,,,2017,2020-06-03,Josh Norris,0.81,4,49.7
242,398223,2000-08-08,"Yekaterinburg, RUS",Russia,175.0,66.0,L,Detroit Red Wings,False,2019,7,190,Detroit Red Wings,kirill-tyutyayev,,,,,2018,2020-06-03,Kirill Tyutyayev,0.03,23,2.4
243,246501,1999-02-27,"Stockholm, SWE",Sweden,190.0,92.0,R,Arizona Coyotes,False,2017,7,190,Arizona Coyotes,erik-walli-walterholm,,,,,2017,2020-06-03,Erik Walli Walterholm,0.02,9,0.1
244,201696,1999-02-23,"Campbell River, BC, CAN",Canada,178.0,78.0,R,Montréal Canadiens,False,2018,7,190,Montréal Canadiens,brett-stapley,,,,,2017,2020-06-03,Brett Stapley,0.07,10,1.5
245,252446,1998-08-17,"Brampton, ON, CAN",Canada,186.0,91.0,L,Colorado Avalanche,True,2016,7,191,Colorado Avalanche,travis-barron,,,,,2016,2020-06-03,Travis Barron,0.07,5,0.7
246,267626,1999-09-08,"Asbestos, QC, CAN",Canada,185.0,90.0,L,,,2017,7,191,New Jersey Devils,jocktan-chainey,Retired,,,,2017,2020-06-03,Jocktan Chainey,0.18,12,6.3
247,376271,2000-03-24,"Pori, FIN",Finland,172.0,62.0,L,Detroit Red Wings,False,2018,7,191,Detroit Red Wings,otto-kivenmaki,,,,,2018,2020-06-03,Otto Kivenmäki,0.02,10,1.6
248,316160,2001-04-24,"McFarland, WI, USA",USA,185.0,76.0,L,Boston Bruins,False,2019,7,192,Boston Bruins,jake-schmaltz,,,,,2019,2020-06-03,Jake Schmaltz,0.05,51,5.0
249,233429,1998-01-21,"Bradenton, FL, USA",USA                                                                                             /  Russia,183.0,92.0,L,New York Islanders,False,2016,7,193,New York Islanders,nick-pastujov,,,,,2016,2020-06-03,Nick Pastujov,0.03,4,3.9
250,360187,2000-12-10,"Yaroslavl, RUS",Russia,177.0,76.0,L,Edmonton Oilers,False,2019,7,193,Edmonton Oilers,maxim-denezhkin,,,,,2019,2020-06-03,Maxim Denezhkin,0.01,20,0.2
251,324913,1998-12-31,"Erie, CO, USA",USA,191.0,86.0,L,Chicago Blackhawks,False,2018,7,193,Chicago Blackhawks,josiah-slavin,,,,,2017,2020-06-03,Josiah Slavin,0.03,4,2.6
252,297674,1999-04-18,"Cobourg, ON, CAN",Canada,178.0,82.0,L,,,2017,7,193,Detroit Red Wings,brady-gilmour,,,,,2017,2020-06-03,Brady Gilmour,0.14,13,5.9
253,443742,2000-07-26,"Minnetonka, MN, USA",USA                                                                                             /  Canada,185.0,88.0,R,Ottawa Senators,False,2018,7,194,Ottawa Senators,luke-loheit,,,,,2018,2020-06-03,Luke Loheit,0.04,10,1.7
254,348494,1999-11-06,"Milton, MA, USA",USA,191.0,86.0,L,Vancouver Canucks,False,2019,7,195,Vancouver Canucks,aidan-mcdonough,,,,,2018,2020-06-03,Aidan McDonough,0.14,7,8.1
255,375834,2000-04-16,"Espoo, FIN",Finland,187.0,90.0,L,Edmonton Oilers,False,2018,7,195,Edmonton Oilers,patrik-siikanen,,,,,2018,2020-06-03,Patrik Siikanen,0.01,10,0.3
256,287706,1999-08-02,"Örnsköldsvik, SWE",Sweden,183.0,82.0,R,Boston Bruins,False,2017,7,195,Boston Bruins,victor-berglund,,,,,2017,2020-06-03,Victor Berglund,0.01,9,0.7
257,283958,2000-05-05,"Novi, MI, USA",USA,188.0,87.0,L,New York Islanders,False,2018,7,196,New York Islanders,christian-krygier,,,,,2018,2020-06-03,Christian Krygier,0.06,11,3.6
258,400134,2000-08-09,"Blaine, MN, USA",USA,183.0,98.0,R,Philadelphia Flyers,False,2019,7,196,Philadelphia Flyers,bryce-brodzinski,,,,,2018,2020-06-03,Bryce Brodzinski,0.02,10,1.0
259,279385,1998-04-14,"Omsk, RUS",Russia,183.0,95.0,L,Minnesota Wild,True,2016,7,196,Minnesota Wild,dmitri-sokolov,,,,,2016,2020-06-03,Dmitri Sokolov,0.08,3,5.9
260,314467,1998-10-08,"Joensuu, FIN",Finland,187.0,76.0,L,Carolina Hurricanes,False,2017,7,197,Carolina Hurricanes,ville-rasanen,,,,,2017,2020-06-03,Ville Räsänen,0.06,7,1.3
261,340214,1999-09-12,"Moskva, RUS",Russia,193.0,88.0,L,Tampa Bay Lightning,False,2019,7,198,Tampa Bay Lightning,mikhail-shalagin,,,,,2017,2020-06-03,Mikhail Shalagin,0.04,21,1.2
262,396918,2000-08-11,"Omsk, RUS",Russia,174.0,79.0,R,Calgary Flames,True,2018,7,198,Calgary Flames,dmitri-zavgorodny,,,,,2018,2020-06-03,Dmitri Zavgorodny,0.13,12,6.8
263,166653,1998-01-20,"Sherwood Park, AB, CAN",Canada,175.0,77.0,L,Winnipeg Jets,True,2017,7,198,Winnipeg Jets,skyler-mckenzie,,,,,2016,2020-06-03,Skyler McKenzie,0.08,3,4.2
264,201274,1998-09-19,"Winnipeg, MB, CAN",Canada,189.0,90.0,R,Philadelphia Flyers,True,2017,1,2,Philadelphia Flyers,nolan-patrick,,,,,2017,2020-06-03,Nolan Patrick,1.0,3,40.7
265,328556,2000-03-26,"Barnaul, RUS",Russia,189.0,88.0,L,Carolina Hurricanes,True,2018,1,2,Carolina Hurricanes,andrei-svechnikov,,,,,2018,2020-06-03,Andrei Svechnikov,1.0,4,139.0
266,396655,2001-02-13,"Turku, FIN",Finland,187.0,90.0,L,New York Rangers,True,2019,1,2,New York Rangers,kaapo-kakko,,,,,2019,2020-06-03,Kaapo Kakko,1.0,5,210.0
267,428795,2001-03-02,"Honkajoki, FIN",Finland,181.0,82.0,L,Winnipeg Jets,True,2019,1,20,Winnipeg Jets,ville-heinola,,,,,2019,2020-06-03,Ville Heinola,0.78,26,79.1
268,319079,2000-03-15,"Kotka, FIN",Finland,186.0,84.0,R,Los Angeles Kings,True,2018,1,20,Los Angeles Kings,rasmus-kupari,,,,,2018,2020-06-03,Rasmus Kupari,0.62,9,21.5
